# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "/work/geisingerlab/Mark/REF_GENOMES/17978-mff/NZ_CP012004.gtf" "-o" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/featurecounts/counts.txt" "-p" "-t" "transcript" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_1Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_2Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_3Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_1Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_2Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_3Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_1Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_2Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_3Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_1Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_2Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_3Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_1Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_2Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_3Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_1Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_2Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_3Aligned.sortedByCoord.out.bam
gene-ACX60_RS04030	NZ_CP012004.1	839319	848669	+	9351	15348	22009	22890	20428	19874	21180	16264	16374	20154
gene-ACX60_RS04035	NZ_CP012004.1	848818	850473	+	1656	104	152	197	86	68	158	127	113	163
gene-ACX60_RS04040	NZ_CP012004.1	850470	852194	+	1725	219	348	364	261	164	234	296	295	335
gene-ACX60_RS04045	NZ_CP012004.1	852191	852907	-	717	92	136	157	79	96	99	69	98	128
gene-ACX60_RS04050	NZ_CP012004.1	852989	853318	+	330	70	119	121	89	80	82	101	134	114
gene-ACX60_RS04055	NZ_CP012004.1	853374	853811	-	438	109	150	188	83	60	129	130	106	151
gene-ACX60_RS04060	NZ_CP012004.1	853933	854565	-	633	338	417	429	297	330	381	321	322	427
gene-ACX60_RS04065	NZ_CP012004.1	854678	855070	-	393	81	118	134	86	80	129	122	123	140
gene-ACX60_RS04070	NZ_CP012004.1	855210	855843	+	634	66	126	124	101	70	98	91	103	143
gene-ACX60_RS04075	NZ_CP012004.1	855878	856354	-	477	1455	2574	3005	2813	2531	3131	2670	3073	3227
gene-ACX60_RS04080	NZ_CP012004.1	856442	859672	-	3231	31020	43330	51865	50130	43829	58376	45566	50856	51482
gene-ACX60_RS04085	NZ_CP012004.1	859687	860826	-	1140	24177	35242	35730	33905	34145	34632	24221	27440	34960
gene-ACX60_RS04090	NZ_CP012004.1	861139	861726	+	588	80	101	112	101	43	142	133	145	145
gene-ACX60_RS04095	NZ_CP012004.1	861785	862321	-	537	3063	4247	4937	3736	2934	4801	3590	3514	4113
gene-ACX60_RS04100	NZ_CP012004.1	862336	862659	-	324	2227	3106	3617	2801	2658	3270	2135	2465	2929
gene-ACX60_RS04105	NZ_CP012004.1	862859	863509	+	651	4897	8037	8441	6417	6360	7125	5430	5873	6864
gene-ACX60_RS04110	NZ_CP012004.1	863644	865539	+	1896	58935	96839	86601	68820	76367	69368	55958	64925	68234
gene-ACX60_RS04115	NZ_CP012004.1	865671	866522	+	852	488	798	838	588	534	688	505	519	720
gene-ACX60_RS04120	NZ_CP012004.1	866657	866971	+	315	50	99	118	87	58	125	99	95	127
gene-ACX60_RS04125	NZ_CP012004.1	866972	867316	-	345	28	52	110	28	38	72	43	44	81
gene-ACX60_RS04130	NZ_CP012004.1	867392	867477	-	86	3	41	24	17	30	17	19	15	19
gene-ACX60_RS04135	NZ_CP012004.1	867674	869437	+	1764	446	502	611	685	602	646	757	654	887
gene-ACX60_RS04140	NZ_CP012004.1	869538	869623	-	86	38	58	37	79	97	47	55	73	55
gene-ACX60_RS04145	NZ_CP012004.1	869635	869708	-	74	0	1	2	0	0	4	3	2	2
gene-ACX60_RS04150	NZ_CP012004.1	869861	870709	+	849	2485	4016	4172	3303	3502	4221	2643	3146	3127
gene-ACX60_RS04155	NZ_CP012004.1	870950	871618	+	669	597	856	1090	1005	966	1203	954	1084	1125
gene-ACX60_RS04160	NZ_CP012004.1	871641	872063	-	423	386	667	818	509	441	808	728	767	789
gene-ACX60_RS04165	NZ_CP012004.1	872180	873511	-	1332	1586	2352	2218	2027	2297	2379	2544	2851	3033
gene-ACX60_RS04170	NZ_CP012004.1	873886	875394	+	1509	583	1018	1006	596	651	654	634	670	826
gene-ACX60_RS04175	NZ_CP012004.1	875549	877066	+	1518	149	239	264	178	168	197	210	195	217
gene-ACX60_RS04180	NZ_CP012004.1	877108	878940	-	1833	27112	37053	39796	40952	39638	48475	35764	40879	42898
gene-ACX60_RS04185	NZ_CP012004.1	879332	880270	+	939	170	243	357	187	193	233	145	141	196
gene-ACX60_RS04190	NZ_CP012004.1	880251	881009	+	759	244	330	381	287	290	374	294	305	321
gene-ACX60_RS04195	NZ_CP012004.1	881195	881485	+	291	3413	6761	6801	2749	2609	3731	1988	2245	2445
gene-ACX60_RS04200	NZ_CP012004.1	881544	883178	+	1635	38869	67730	62286	42213	42872	47237	33975	42632	41045
gene-ACX60_RS04205	NZ_CP012004.1	883353	883727	-	375	67	92	130	111	82	146	122	137	132
gene-ACX60_RS04210	NZ_CP012004.1	883834	884796	+	963	1426	2594	2623	1549	1483	1791	1612	1954	2227
gene-ACX60_RS04215	NZ_CP012004.1	884840	885982	-	1143	135	149	191	108	111	171	154	207	178
gene-ACX60_RS04220	NZ_CP012004.1	886246	889341	+	3096	1084	1690	1771	1498	1536	1215	771	772	1026
gene-ACX60_RS04225	NZ_CP012004.1	889414	889989	+	576	1046	1375	1608	1130	1044	1326	1025	948	1448
gene-ACX60_RS04230	NZ_CP012004.1	890040	890945	-	906	16622	27581	25673	20112	20205	22858	18919	23060	21729
gene-ACX60_RS04235	NZ_CP012004.1	891203	892066	-	864	1151	1559	1500	869	916	1136	1018	1000	1322
gene-ACX60_RS04240	NZ_CP012004.1	892570	893475	+	906	2583	3567	3624	4245	3785	4368	2882	3398	3413
gene-ACX60_RS04245	NZ_CP012004.1	893682	894065	+	384	1069	2103	2593	1511	1647	2052	1043	1005	1384
gene-ACX60_RS04250	NZ_CP012004.1	894157	895269	-	1113	2461	3515	4004	2471	2573	2678	1317	1365	1799
gene-ACX60_RS04255	NZ_CP012004.1	895642	896136	+	495	61	102	155	43	43	88	78	51	97
gene-ACX60_RS04260	NZ_CP012004.1	896226	896315	+	90	0	2	5	0	6	0	2	0	1
gene-ACX60_RS04265	NZ_CP012004.1	896395	896925	-	531	38	74	80	40	44	64	74	76	46
gene-ACX60_RS04270	NZ_CP012004.1	897532	901530	+	3999	462	667	754	648	570	579	580	578	770
gene-ACX60_RS04275	NZ_CP012004.1	901600	902106	-	507	153	177	322	160	99	205	213	209	242
gene-ACX60_RS04280	NZ_CP012004.1	902140	902397	-	258	42	81	128	57	33	63	120	112	100
gene-ACX60_RS04285	NZ_CP012004.1	902676	903095	+	420	10	36	65	39	33	55	59	62	64
gene-ACX60_RS04290	NZ_CP012004.1	903233	903973	+	741	88	157	187	96	101	132	160	166	179
gene-ACX60_RS04295	NZ_CP012004.1	904151	904591	-	441	75	73	171	57	34	84	81	82	107
gene-ACX60_RS04300	NZ_CP012004.1	904591	905448	-	858	267	295	454	286	236	357	468	511	537
gene-ACX60_RS04305	NZ_CP012004.1	905448	905957	-	510	69	122	185	100	53	121	142	147	161
gene-ACX60_RS04310	NZ_CP012004.1	906162	906470	-	309	12	11	27	11	3	13	22	16	18
gene-ACX60_RS04315	NZ_CP012004.1	906646	907251	-	606	30	25	45	24	13	27	38	28	27
gene-ACX60_RS04320	NZ_CP012004.1	907980	908558	+	579	6	6	7	2	8	8	4	2	4
gene-ACX60_RS04325	NZ_CP012004.1	908638	909501	-	864	11	8	28	16	6	12	6	4	14
gene-ACX60_RS04330	NZ_CP012004.1	909610	910227	+	618	18	20	33	10	8	8	21	13	19
gene-ACX60_RS04335	NZ_CP012004.1	910342	910947	-	606	1176	1660	1611	1477	1526	1296	1018	1212	1451
gene-ACX60_RS04340	NZ_CP012004.1	910985	911767	-	783	171	253	273	191	140	149	124	195	164
gene-ACX60_RS04345	NZ_CP012004.1	911890	912456	+	567	109	135	140	116	75	92	101	99	115
gene-ACX60_RS04350	NZ_CP012004.1	912453	913610	-	1158	229	329	373	219	260	279	246	219	278
gene-ACX60_RS04355	NZ_CP012004.1	914005	916413	+	2409	2480	3964	3658	2452	3138	2548	1629	1781	2189
gene-ACX60_RS04360	NZ_CP012004.1	916492	917283	+	792	277	482	355	264	333	290	166	212	203
gene-ACX60_RS04365	NZ_CP012004.1	917403	917795	+	393	58	81	60	32	55	64	26	40	49
gene-ACX60_RS04370	NZ_CP012004.1	917900	918967	+	1068	372	580	629	477	512	527	425	452	546
gene-ACX60_RS04375	NZ_CP012004.1	918964	919938	+	975	607	877	997	758	665	921	786	807	925
gene-ACX60_RS04380	NZ_CP012004.1	919997	920977	-	981	35910	54779	45690	36093	39684	32639	29685	38450	39349
gene-ACX60_RS04385	NZ_CP012004.1	921060	922448	-	1389	3454	4772	5114	3836	3690	4355	3936	4656	4909
gene-ACX60_RS04390	NZ_CP012004.1	922938	924344	+	1407	2362	3670	3530	2085	2292	2312	2230	2344	2628
gene-ACX60_RS04395	NZ_CP012004.1	924485	924709	+	225	626	990	979	993	1040	905	782	894	1012
gene-ACX60_RS04400	NZ_CP012004.1	924732	925982	+	1251	2273	3707	4035	3177	3265	3629	3108	3476	3839
gene-ACX60_RS04405	NZ_CP012004.1	925988	926833	+	846	1615	2604	2844	2144	2076	2499	1898	2069	2251
gene-ACX60_RS04410	NZ_CP012004.1	926920	927543	-	624	282	432	467	383	348	373	400	408	456
gene-ACX60_RS04415	NZ_CP012004.1	927706	928593	+	888	232	383	523	363	266	326	353	355	429
gene-ACX60_RS04420	NZ_CP012004.1	929030	929779	+	750	11237	17650	16999	14083	15052	16339	13657	16704	15942
gene-ACX60_RS04425	NZ_CP012004.1	929797	930729	+	933	10736	16162	15230	14247	14574	16054	15258	17933	16494
gene-ACX60_RS04430	NZ_CP012004.1	931095	933809	+	2715	15354	23904	23760	19424	19200	22852	15331	17514	19434
gene-ACX60_RS04435	NZ_CP012004.1	933860	935506	-	1647	82	109	140	97	63	100	88	149	150
gene-ACX60_RS04440	NZ_CP012004.1	935516	935896	-	381	4	15	16	8	13	14	14	12	28
gene-ACX60_RS04445	NZ_CP012004.1	935896	936876	-	981	39	52	63	29	41	43	25	57	75
gene-ACX60_RS04450	NZ_CP012004.1	936873	937667	-	795	42	61	121	44	53	55	72	54	77
gene-ACX60_RS04455	NZ_CP012004.1	937932	939023	-	1092	326	408	498	352	401	344	410	442	405
gene-ACX60_RS04460	NZ_CP012004.1	939020	940090	-	1071	354	541	540	535	605	494	547	586	683
gene-ACX60_RS04465	NZ_CP012004.1	940154	941275	-	1122	436	688	786	541	624	582	457	465	581
gene-ACX60_RS04470	NZ_CP012004.1	941288	942775	-	1488	631	909	903	831	715	882	678	699	774
gene-ACX60_RS04475	NZ_CP012004.1	943155	944234	+	1080	992	1598	1783	1477	1295	1958	1540	1571	1463
gene-ACX60_RS04480	NZ_CP012004.1	944472	945413	-	942	3407	5778	5636	3196	2796	2823	2815	3239	3315
gene-ACX60_RS04485	NZ_CP012004.1	945670	946155	+	486	346	496	594	359	313	472	421	437	467
gene-ACX60_RS04490	NZ_CP012004.1	946166	947074	+	909	859	1437	1444	1322	1222	1326	1695	1804	2063
gene-ACX60_RS20060	NZ_CP012004.1	947104	947302	-	199	13	35	64	31	28	72	78	59	48
gene-ACX60_RS04495	NZ_CP012004.1	947322	948557	+	1236	4920	7273	7526	7627	8517	7628	4987	5487	6373
gene-ACX60_RS04500	NZ_CP012004.1	948550	949236	+	687	1554	2349	2527	2151	2177	2244	1233	1502	1745
gene-ACX60_RS04505	NZ_CP012004.1	949322	951754	+	2433	377	623	664	510	410	594	670	691	708
gene-ACX60_RS04510	NZ_CP012004.1	951707	952690	-	984	1743	2457	2654	2127	2088	2379	2465	2381	2741
gene-ACX60_RS04515	NZ_CP012004.1	952823	953839	+	1017	2589	3961	4718	3197	3193	3600	2485	2660	3338
gene-ACX60_RS04520	NZ_CP012004.1	953858	954667	+	810	1845	2875	3028	2564	2569	2670	2116	2240	2667
gene-ACX60_RS04525	NZ_CP012004.1	954731	955360	-	630	2611	3873	3612	4289	4313	4630	4039	4740	4939
gene-ACX60_RS04530	NZ_CP012004.1	955357	956427	-	1071	8102	12058	12334	12133	11476	13561	11311	13005	14274
gene-ACX60_RS04535	NZ_CP012004.1	956563	957756	+	1194	3745	5411	5646	5792	5720	5938	5811	6263	7493
gene-ACX60_RS04540	NZ_CP012004.1	957777	958475	+	699	1039	1615	1548	1267	1268	1452	1260	1172	1565
gene-ACX60_RS04545	NZ_CP012004.1	958793	960646	+	1854	874	1252	1710	722	704	996	1023	914	1270
gene-ACX60_RS04550	NZ_CP012004.1	960661	963108	+	2448	786	1174	1927	768	606	1247	1168	1077	1391
gene-ACX60_RS04555	NZ_CP012004.1	963198	963587	-	390	151	237	320	170	158	223	179	208	190
gene-ACX60_RS04560	NZ_CP012004.1	963577	963897	-	321	322	590	619	512	372	427	435	440	412
gene-ACX60_RS04565	NZ_CP012004.1	963887	964501	-	615	5575	8223	7439	5755	5902	5521	4243	4459	4982
gene-ACX60_RS04570	NZ_CP012004.1	964661	965437	-	777	1015	1486	2120	1316	1250	1771	1091	1048	1283
gene-ACX60_RS04575	NZ_CP012004.1	965494	966465	-	972	2414	3486	4292	3501	3416	4126	2104	2287	2881
gene-ACX60_RS04580	NZ_CP012004.1	966648	966836	+	189	34	48	58	37	32	52	45	27	28
gene-ACX60_RS04585	NZ_CP012004.1	966891	967454	-	564	6564	9229	8574	8896	9886	8551	4927	6106	7270
gene-ACX60_RS04590	NZ_CP012004.1	967482	968762	-	1281	4059	6075	6536	6883	7255	7207	4744	5381	5546
gene-ACX60_RS04595	NZ_CP012004.1	968856	970259	-	1404	1525	2303	2258	2296	2439	2834	1608	1759	1998
gene-ACX60_RS04600	NZ_CP012004.1	970263	970715	-	453	461	591	807	931	861	1021	639	615	781
gene-ACX60_RS04605	NZ_CP012004.1	970715	971413	-	699	1242	2044	2018	2670	2818	2674	1996	2204	2549
gene-ACX60_RS04610	NZ_CP012004.1	971437	971844	-	408	435	781	689	745	821	743	759	777	979
gene-ACX60_RS04615	NZ_CP012004.1	972055	973389	-	1335	89	163	130	102	89	92	108	106	134
gene-ACX60_RS04620	NZ_CP012004.1	973594	974598	-	1005	3311	4568	4262	3557	3637	3763	2669	3120	3545
gene-ACX60_RS04625	NZ_CP012004.1	974607	975206	-	600	551	861	1133	499	498	621	389	383	498
gene-ACX60_RS04630	NZ_CP012004.1	975298	976638	-	1341	2373	3836	3869	2439	2453	2484	1707	1929	2280
gene-ACX60_RS04635	NZ_CP012004.1	976948	980781	+	3834	19178	27454	30330	27363	27526	31734	24490	27541	28704
gene-ACX60_RS04640	NZ_CP012004.1	980864	981919	+	1056	263	312	402	231	201	353	252	272	362
gene-ACX60_RS04645	NZ_CP012004.1	982057	982632	-	576	123	142	322	150	137	288	253	209	307
gene-ACX60_RS04650	NZ_CP012004.1	983362	983967	-	606	42	42	73	46	37	58	40	27	51
gene-ACX60_RS04655	NZ_CP012004.1	984352	985278	-	927	92	124	201	120	74	119	146	161	183
gene-ACX60_RS04660	NZ_CP012004.1	985655	986830	+	1176	66	94	141	77	58	95	90	110	109
gene-ACX60_RS04665	NZ_CP012004.1	986922	987551	+	630	35	37	58	25	25	32	34	48	41
gene-ACX60_RS04670	NZ_CP012004.1	987588	988379	+	792	69	110	111	80	111	80	77	77	143
gene-ACX60_RS04675	NZ_CP012004.1	988393	990897	+	2505	239	354	307	233	194	211	268	280	268
gene-ACX60_RS20065	NZ_CP012004.1	990901	994137	+	3237	341	490	547	352	312	328	356	401	451
gene-ACX60_RS04685	NZ_CP012004.1	994150	997365	+	3216	333	626	658	410	359	434	392	456	606
gene-ACX60_RS04690	NZ_CP012004.1	997377	998996	+	1620	205	286	296	202	219	217	155	227	271
gene-ACX60_RS04695	NZ_CP012004.1	999010	1000350	+	1341	173	248	286	178	185	214	135	211	275
gene-ACX60_RS04700	NZ_CP012004.1	1000360	1001520	+	1161	249	321	397	319	256	328	238	219	304
gene-ACX60_RS04705	NZ_CP012004.1	1001602	1002228	+	627	89	142	191	97	51	98	106	111	109
gene-ACX60_RS19065	NZ_CP012004.1	1002349	1003101	+	753	32	56	66	40	31	49	63	43	54
gene-ACX60_RS04720	NZ_CP012004.1	1003262	1003981	-	720	6	11	17	25	19	22	20	29	35
gene-ACX60_RS04725	NZ_CP012004.1	1004146	1004907	-	762	62	82	150	75	60	91	91	79	117
gene-ACX60_RS04730	NZ_CP012004.1	1005130	1007337	+	2208	576	738	851	604	450	689	686	677	1011
gene-ACX60_RS04735	NZ_CP012004.1	1007382	1008605	+	1224	216	406	324	257	279	267	354	306	422
gene-ACX60_RS04740	NZ_CP012004.1	1008657	1009781	+	1125	173	232	217	181	194	168	146	238	248
gene-ACX60_RS04745	NZ_CP012004.1	1009800	1011155	+	1356	239	311	336	336	313	343	348	393	440
gene-ACX60_RS04750	NZ_CP012004.1	1011359	1013476	-	2118	679	938	1258	902	670	1071	1235	1152	1470
gene-ACX60_RS04755	NZ_CP012004.1	1013480	1014745	-	1266	427	583	784	568	419	578	672	727	819
gene-ACX60_RS04760	NZ_CP012004.1	1014754	1015902	-	1149	680	914	1104	912	671	1135	1453	1223	1583
gene-ACX60_RS04765	NZ_CP012004.1	1016176	1016514	-	339	127	114	189	170	141	181	160	146	214
gene-ACX60_RS04770	NZ_CP012004.1	1016686	1017105	-	420	20	17	52	27	12	17	35	22	18
gene-ACX60_RS19075	NZ_CP012004.1	1017328	1017934	+	607	73	76	71	40	32	76	49	103	93
gene-ACX60_RS04785	NZ_CP012004.1	1018228	1019814	-	1587	190	272	416	174	167	246	349	283	326
gene-ACX60_RS04790	NZ_CP012004.1	1019804	1020490	-	687	49	99	106	87	79	100	120	118	99
gene-ACX60_RS04795	NZ_CP012004.1	1020545	1021477	-	933	922	1279	1354	828	847	912	1042	1189	1417
gene-ACX60_RS04800	NZ_CP012004.1	1021533	1022381	-	849	358	485	523	426	420	386	408	443	519
gene-ACX60_RS04805	NZ_CP012004.1	1022397	1024049	-	1653	644	992	1218	761	791	856	880	875	1025
gene-ACX60_RS04810	NZ_CP012004.1	1024043	1026133	-	2091	385	599	726	557	506	563	542	528	723
gene-ACX60_RS04815	NZ_CP012004.1	1026117	1026926	-	810	110	138	136	161	106	139	110	144	181
gene-ACX60_RS19080	NZ_CP012004.1	1027059	1027214	+	156	9	5	5	12	13	6	22	11	14
gene-ACX60_RS19995	NZ_CP012004.1	1027415	1027540	+	126	2	2	15	3	3	8	7	2	5
gene-ACX60_RS04825	NZ_CP012004.1	1027609	1027926	+	318	33	61	73	54	29	48	46	57	75
gene-ACX60_RS04830	NZ_CP012004.1	1027923	1028723	-	801	860	1248	1476	879	776	966	721	854	928
gene-ACX60_RS04835	NZ_CP012004.1	1028833	1029423	+	591	254	451	560	427	403	580	476	454	515
gene-ACX60_RS04840	NZ_CP012004.1	1029494	1030063	-	570	180	310	354	269	246	355	304	271	351
gene-ACX60_RS04845	NZ_CP012004.1	1030189	1030650	-	462	540	798	924	771	624	848	441	438	632
gene-ACX60_RS04850	NZ_CP012004.1	1030668	1031354	-	687	227	382	413	331	317	455	219	219	293
gene-ACX60_RS04855	NZ_CP012004.1	1031445	1031861	-	417	2535	4286	5244	4253	4101	5544	2937	3343	3562
gene-ACX60_RS04860	NZ_CP012004.1	1031875	1032546	-	672	5340	7756	8373	8019	6885	8589	6656	7415	8663
gene-ACX60_RS04865	NZ_CP012004.1	1032587	1033297	-	711	7419	9935	10148	9584	9215	10070	8405	9233	10367
gene-ACX60_RS04870	NZ_CP012004.1	1033376	1034197	-	822	9609	14071	13074	13941	13749	14741	11552	12939	14125
gene-ACX60_RS04875	NZ_CP012004.1	1034492	1035220	+	729	8495	15061	16489	14659	15801	15881	5160	5990	6940
gene-ACX60_RS04880	NZ_CP012004.1	1035312	1036235	-	924	1681	2613	2893	2608	2061	2856	1379	1638	1762
gene-ACX60_RS04885	NZ_CP012004.1	1036307	1037368	-	1062	2614	3945	3563	3471	3509	3396	2004	2457	2890
gene-ACX60_RS04890	NZ_CP012004.1	1037380	1038264	-	885	1406	2104	1800	2031	2068	1792	1489	1725	1888
gene-ACX60_RS04895	NZ_CP012004.1	1038261	1039094	-	834	1671	2555	2152	2322	2671	2045	1736	2046	2429
gene-ACX60_RS04900	NZ_CP012004.1	1039175	1039783	-	609	1653	2319	2435	1929	1977	1895	1698	1955	2298
gene-ACX60_RS04905	NZ_CP012004.1	1039814	1040821	-	1008	2773	3978	4237	3525	3753	3177	2707	3162	3360
gene-ACX60_RS04910	NZ_CP012004.1	1041085	1041897	+	813	240	360	314	324	309	292	275	306	323
gene-ACX60_RS04915	NZ_CP012004.1	1041899	1042969	+	1071	639	846	1018	852	739	1010	676	640	853
gene-ACX60_RS04920	NZ_CP012004.1	1042979	1043578	+	600	311	555	595	447	490	605	356	381	421
gene-ACX60_RS04925	NZ_CP012004.1	1043717	1044133	+	417	75	132	165	114	94	145	118	96	159
gene-ACX60_RS04930	NZ_CP012004.1	1044187	1045830	-	1644	1944	2573	2485	2388	2252	2494	2563	2604	2846
gene-ACX60_RS04935	NZ_CP012004.1	1046061	1047437	+	1377	2010	3201	3169	2846	2915	2726	1685	2092	2453
gene-ACX60_RS04940	NZ_CP012004.1	1047558	1048013	+	456	206	272	326	177	256	254	205	232	216
gene-ACX60_RS04945	NZ_CP012004.1	1048027	1048575	+	549	44	83	123	73	53	92	59	58	69
gene-ACX60_RS04950	NZ_CP012004.1	1048759	1050576	+	1818	11934	17982	19306	16467	15777	18917	14262	16606	18748
gene-ACX60_RS04955	NZ_CP012004.1	1050647	1051474	+	828	1811	2895	3319	2980	2835	3763	3339	3571	3380
gene-ACX60_RS04960	NZ_CP012004.1	1051498	1051872	+	375	458	748	737	584	510	680	475	502	662
gene-ACX60_RS04965	NZ_CP012004.1	1051844	1052536	+	693	772	1141	1542	1192	1113	1429	1079	1036	1283
gene-ACX60_RS04970	NZ_CP012004.1	1052548	1053570	+	1023	5998	9125	11258	8012	7301	9633	7043	7534	8732
gene-ACX60_RS04975	NZ_CP012004.1	1053589	1053789	+	201	197	376	775	207	156	486	342	264	306
gene-ACX60_RS04980	NZ_CP012004.1	1053799	1054512	+	714	978	1538	1729	1342	1176	1678	1147	1303	1369
gene-ACX60_RS04985	NZ_CP012004.1	1054526	1055251	+	726	1938	3017	2870	2524	3181	2595	1941	2399	2715
gene-ACX60_RS04990	NZ_CP012004.1	1055258	1055902	+	645	680	1066	1091	700	785	1002	695	761	837
gene-ACX60_RS04995	NZ_CP012004.1	1056196	1056954	+	759	347	544	647	354	340	451	408	372	476
gene-ACX60_RS05000	NZ_CP012004.1	1057138	1057213	-	76	9	12	26	18	17	27	13	15	16
gene-ACX60_RS19470	NZ_CP012004.1	1057272	1057406	+	135	0	1	12	1	1	0	8	5	0
gene-ACX60_RS05005	NZ_CP012004.1	1057448	1057876	+	429	127	196	380	191	123	303	335	343	393
gene-ACX60_RS05010	NZ_CP012004.1	1057891	1058328	-	438	210	301	306	205	193	246	248	279	323
gene-ACX60_RS05015	NZ_CP012004.1	1058514	1058924	+	411	7	22	46	13	5	16	18	12	25
gene-ACX60_RS05020	NZ_CP012004.1	1059289	1060989	+	1701	868	1374	1550	778	690	1068	885	921	1076
gene-ACX60_RS05025	NZ_CP012004.1	1061041	1063002	-	1962	91	139	269	146	95	211	288	204	252
gene-ACX60_RS05030	NZ_CP012004.1	1063225	1064454	-	1230	5672	8350	8524	9251	9649	10296	7715	9734	8654
gene-ACX60_RS05035	NZ_CP012004.1	1064662	1064841	+	180	35	65	65	61	36	79	72	54	51
gene-ACX60_RS05040	NZ_CP012004.1	1064876	1066312	-	1437	204	232	353	216	162	211	233	260	280
gene-ACX60_RS05045	NZ_CP012004.1	1066481	1067272	-	792	482	551	694	370	407	420	453	404	416
gene-ACX60_RS05050	NZ_CP012004.1	1067452	1069473	+	2022	6007	10085	9614	5456	5611	5145	4433	5027	5721
gene-ACX60_RS05055	NZ_CP012004.1	1069567	1070154	+	588	750	1144	1147	819	753	870	618	656	739
gene-ACX60_RS05060	NZ_CP012004.1	1070263	1071210	+	948	286	417	437	284	196	350	289	290	422
gene-ACX60_RS05065	NZ_CP012004.1	1071427	1072884	+	1458	9973	14577	16250	16727	16413	20721	15267	17734	16295
gene-ACX60_RS05070	NZ_CP012004.1	1073034	1073768	+	735	96	106	176	95	103	118	156	136	135
gene-ACX60_RS05075	NZ_CP012004.1	1073780	1074454	+	675	29	33	88	58	52	58	42	63	37
gene-ACX60_RS05080	NZ_CP012004.1	1074671	1075891	+	1221	13930	19518	19072	17551	18398	17453	12942	14490	17992
gene-ACX60_RS05085	NZ_CP012004.1	1075907	1077040	+	1134	7761	10396	10469	11038	10903	11672	9412	10606	12008
gene-ACX60_RS05090	NZ_CP012004.1	1077067	1077723	-	657	267	329	459	262	231	377	361	328	374
gene-ACX60_RS05095	NZ_CP012004.1	1077690	1078898	-	1209	874	1500	1548	1271	1221	1367	1071	1180	1220
gene-ACX60_RS05100	NZ_CP012004.1	1078982	1080007	+	1026	778	1352	1387	955	1016	1073	787	826	1076
gene-ACX60_RS05105	NZ_CP012004.1	1080051	1081097	-	1047	996	1370	1293	887	1053	777	926	1020	1194
gene-ACX60_RS05110	NZ_CP012004.1	1081209	1081910	-	702	52	110	97	49	83	69	81	51	67
gene-ACX60_RS05115	NZ_CP012004.1	1082163	1083383	+	1221	243	399	403	362	271	326	196	212	262
gene-ACX60_RS05120	NZ_CP012004.1	1083386	1084524	+	1139	137	241	249	189	148	203	138	185	248
gene-ACX60_RS05125	NZ_CP012004.1	1084532	1085437	-	906	223	286	347	178	195	190	206	208	289
